"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"HVICBUS","194913","75.537","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195013","69.396","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195113","63.097","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195213","61.538","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195313","56.506","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195413","55.678","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195513","38.149","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195613","36.751","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195713","35.521","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195813","37.162","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","195913","37.003","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196013","38.808","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196113","35.836","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196213","35.99","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196313","33.914","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196413","33.772","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196513","32.757","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196613","33.138","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196713","35.787","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196813","35.172","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","196913","34.22","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197013","34.04","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197113","33.746","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197213","34.42","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197301","3.167","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197302","2.928","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197303","3.24","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197304","3.095","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197305","3.193","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197306","3.098","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197307","2.76","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197308","2.665","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197309","2.326","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197310","2.534","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197311","2.669","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197312","3.099","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197313","34.773","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197401","3.138","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197402","2.866","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197403","3.072","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197404","3.036","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197405","3.131","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197406","2.917","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197407","2.667","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197408","2.508","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197409","2.389","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
"HVICBUS","197410","2.27","1","Hydroelectric Power Consumed by the Industrial Sector","Trillion Btu"
