"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"BDFDBUS","200101","0.094","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200102","0.085","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200103","0.094","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200104","0.091","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200105","0.094","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200106","0.091","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200107","0.094","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200108","0.094","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200109","0.091","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200110","0.094","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200111","0.091","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200112","0.094","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200113","1.109","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200201","0.115","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200202","0.104","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200203","0.115","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200204","0.111","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200205","0.115","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200206","0.111","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200207","0.115","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200208","0.115","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200209","0.111","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200210","0.115","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200211","0.111","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200212","0.115","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200213","1.356","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200301","0.156","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200302","0.141","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200303","0.156","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200304","0.151","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200305","0.156","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200306","0.151","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200307","0.156","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200308","0.156","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200309","0.151","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200310","0.156","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200311","0.151","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200312","0.156","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200313","1.838","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200401","0.307","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200402","0.287","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200403","0.307","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200404","0.297","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200405","0.307","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200406","0.297","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200407","0.307","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200408","0.307","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200409","0.297","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200410","0.307","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200411","0.297","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200412","0.307","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200413","3.62","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200501","0.997","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200502","0.901","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200503","0.997","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200504","0.965","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200505","0.997","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200506","0.965","1","Biodiesel Feedstock","Trillion Btu"
"BDFDBUS","200507","0.997","1","Biodiesel Feedstock","Trillion Btu"
